SetID,Number,Variant,YearFrom,Category,Theme,ThemeGroup,Subtheme,SetName,Image,ImageFilename,USRetailPrice,UKRetailPrice,CARetailPrice,DERetailPrice,USDateAdded,USDateRemoved,Pieces,Minifigs,MinifigNumbers,PackagingType,Availability,USItemNumber,EUItemNumber,EAN,UPC,Width,Height,Depth,Weight,ModelDimension1,ModelDimension2,ModelDimension3,AgeMin,AgeMax,OwnCount,WantCount,InstructionsCount,AdditionalImageCount,Released,Rating,BrickLinkSoldPriceNew,BrickLinkSoldPriceUsed,Designers,LaunchDate,ExitDate,Own,Want,QtyOwned,QtyOwnedNew,QtyOwnedUsed,QtyWanted,WantedPriority,,Flag2,Flag3,Flag4,Flag5,Flag6,Flag7,Flag8,UserNotes
"48690","892313","1","2023","Other","Ninjago","Action/Adventure","Magazine Gift","Lloyd","X","892313-1","","","","","","","9","1","njo0813,","Paper bag","Magazine gift","","","","","","","","","","","","","","378","101","0","0","X","0","3.6400","6.0000","","","","X","","1","1","0","0","1","","","","","","","","",""
"27741","911730","1","2017","Other","Star Wars","Licensed","Magazine Gift","Y-wing","X","SW911730-1","","","","","","","60","","","Foil pack","Magazine gift","","","","","","","","","","","","5","","1628","715","0","0","X","0","6.0500","3.5700","","","","X","","1","1","0","0","1","","","","","","","","",""
"48729","912313","1","2023","Other","Star Wars","Licensed","Magazine Gift","Republic Fighter Tank","X","912313-1","","","","","","","44","","","Paper bag","Magazine gift","","","","","","","","","","","","6","","913","316","0","0","X","0","5.1300","2.5100","","","","X","","1","1","0","0","1","","","","","","","","",""
"48990","912402","1","2024","Other","Star Wars","Licensed","Magazine Gift","Emperor Palpatine","X","912402-1","","","","","","","7","1","sw1263,","Paper bag","Magazine gift","","","","","","","","","","","","","","1993","508","0","0","X","5","7.7700","0.6200","","","","X","","1","1","0","0","1","","","","","","","","",""
"28015","951806","1","2018","Other","City","Modern day","Magazine Gift","Miner","X","CITY951806-1","","","","","","","31","1","cty0846,","Foil pack","Magazine gift","","","","","","","","","","","","","","1004","371","0","0","X","5","4.4300","4.3700","","","","X","","1","1","0","0","1","","","","","","","","",""
"28102","951808","1","2018","Other","City","Modern day","Magazine Gift","Motorcycle and Rider","X","CITY951808-1","","","","","","","16","1","cty0830,","Foil pack","Magazine gift","","","","","","","","","","","","5","","1049","310","0","0","X","0","3.6200","4.5300","","","","X","","1","1","0","0","1","","","","","","","","",""
"28337","951809","1","2018","Other","City","Modern day","Magazine Gift","Refuse Operative","X","CITY951809-1","","","","","","","23","1","cty0945,","Foil pack","Magazine gift","","","","","","","","","","","","","","1183","349","0","0","X","5","4.3000","4.5000","","","","X","","1","1","0","0","1","","","","","","","","",""
"28529","951810","1","2018","Other","City","Modern day","Magazine Gift","Arctic Explorer with Snowmobile","X","CITY951810-1","","","","","","","35","1","cty0903,","Foil pack","Magazine gift","","","","","","","","","","","","","","1002","350","0","0","X","4","4.1900","3.5500","","","","X","","1","1","0","0","1","","","","","","","","",""
"28961","951901","1","2019","Other","City","Modern day","Magazine Gift","Police Officer and Jet","X","CITY951901-1","","","","","","","22","1","cty1001,","Foil pack","Magazine gift","","","","","","","","","","","","","","864","205","0","0","X","1","2.8700","1.6600","","","","X","","1","1","0","0","1","","","","","","","","",""
"29159","951903","1","2019","Other","City","Modern day","Magazine Gift","Lawnmower","X","CITY951903-1","","","","","","","27","1","cty1006,","Foil pack","Magazine gift","","","","","","","","","","","","","","1140","493","0","0","X","9","4.2800","3.7500","","","","X","","1","1","0","0","1","","","","","","","","",""
"29568","951908","1","2019","Other","City","Modern day","Magazine Gift","Astronaut","X","951908-1","","","","","","","18","2","cty1076,cty1077,","Foil pack","Magazine gift","","","","","","","","","","","","","","1012","494","0","0","X","4","4.2000","4.4700","","","","X","","1","1","0","0","1","","","","","","","","",""
"31420","952102","1","2021","Other","City","Modern day","Magazine Gift","Digger","X","952102-1","","","","","","","21","1","cty1286,","Foil pack","Magazine gift","","","","","","","","","","","","5","","796","278","0","0","X","0","3.1700","3.6000","","","","X","","1","1","0","0","1","","","","","","","","",""
"33616","952204","1","2022","Other","City","Modern day","Magazine Gift","Phil Corey's Dump Truck","X","952204-1","","4.5","","","","","26","1","cty1435,","Foil pack","Magazine gift","","","","","","","","","","","","5","","629","249","0","0","X","0","3.2500","2.0000","Corvin Stichert,","","","X","","1","1","0","0","1","","","","","","","","",""
"33598","5006144","1","2022","Gear","Gear","Miscellaneous","Storage","Storage Head Small Boy","X","5005529-1","","15.99","","17.99","","","","","","{Not specified}","{Not specified}","","6326532","5711938030193","","","","","","","","","","","173","47","0","0","X","0","","","","","","X","","1","1","0","0","1","","","","","","","","",""
"30722","PE770439","1","2020","Gear","Gear","Miscellaneous","Storage","BYGGLEK box, medium","X","PE770439-1","","","","12.99","","","","","","{Not specified}","{Not specified}","","","","","","","","","","","","","","1154","217","0","0","X","0","","","","","","X","","1","1","0","0","1","","","","","","","","",""
"30721","PE770439_1","1","2020","Gear","Gear","Miscellaneous","Storage","BYGGLEK box, large","X","PE770439_1-1","","","","14.99","","","","","","{Not specified}","{Not specified}","","","","","","","","","","","","","","1389","203","0","0","X","0","","","","","","X","","1","1","0","0","1","","","","","","","","",""
